Team,W,L,W%,Diff/G,Elo,Pre '24,30 Days,15 Days,Form
Celtics,80,21,0.792,10.7,1752,128,21,2,WWWLW
Mavericks,63,41,0.606,2.3,1686,228,36,−2,LLLWL
Timberwolves,65,33,0.663,6.1,1666,149,−38,±0,LLLWL
Thunder,63,29,0.685,7.3,1664,150,±0,±0,LLWLL
Nuggets,64,30,0.681,4.3,1660,20,±0,±0,WWWLL
Warriors,46,37,0.554,2.3,1613,44,±0,±0,WWLWL
Pacers,55,45,0.55,2.5,1613,187,−19,±0,WLLLL
Suns,49,37,0.57,2.2,1599,55,±0,±0,WLLLL
Lakers,50,39,0.562,0.6,1585,15,±0,±0,LLLWL
Knicks,57,38,0.6,3.7,1584,11,±0,±0,LLWLL
Kings,47,37,0.56,1.9,1556,27,±0,±0,LLWWL
Pelicans,50,38,0.568,3.4,1555,31,±0,±0,WLLLL
Heat,48,41,0.539,1,1550,−30,±0,±0,LWLLL
76ers,50,39,0.562,2.8,1540,−66,±0,±0,LWLWL
Cavaliers,53,41,0.564,1.4,1535,−19,±0,±0,LWLLL
Magic,50,39,0.562,2.2,1533,71,±0,±0,WWLWL
Bucks,51,37,0.58,2.3,1525,−22,±0,±0,LLLWL
Rockets,41,41,0.5,1.1,1518,146,±0,±0,LWLWW
Clippers,53,35,0.602,2.6,1511,−8,±0,±0,LLWLL
Bulls,40,44,0.476,−1.5,1477,−57,±0,±0,WWLWL
Hawks,36,47,0.434,−2.3,1452,−73,±0,±0,LLLLL
Nets,32,50,0.39,−2.9,1413,−82,±0,±0,WLWLL
Spurs,22,60,0.268,−6.5,1403,30,±0,±0,LWLWW
Jazz,31,51,0.378,−4.9,1366,−71,±0,±0,LLWWL
Hornets,21,61,0.256,−10.2,1324,−92,±0,±0,LLWLW
Grizzlies,27,55,0.329,−7.0,1317,−235,±0,±0,LLLLL
Pistons,14,68,0.171,−9.1,1299,−30,±0,±0,LLLWL
Raptors,25,57,0.305,−6.4,1298,−249,±0,±0,WLLLL
Blazers,21,61,0.256,−9.0,1296,−63,±0,±0,LLLLL
Wizards,15,67,0.183,−9.3,1260,−194,±0,±0,LLLLL
